,StartTime,LastTime,Flgs,Seq,Dur,RunTime,IdleTime,Mean,Sum,Min,Max,Proto,SrcAddr,Sport,DstAddr,Dport,SrcPkts,DstPkts,SrcBytes,DstBytes,State,sTos,sDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,TotPkts,TotBytes,TotAppByte,SAppBytes,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,SrcGap,Rate,SrcRate,DstRate,TcpRtt,SynAck,AckDat,Offset,sMeanPktSz,dMeanPktSz,Device_type,Label
sIpId,-0.020632515,-0.020611816,-0.067106731,-0.280018115,0.182343881,0.180804371,-0.044017003,0.180804371,0.180804371,0.180804371,0.180804371,-0.419643326,-0.271624665,0.314761504,-0.256138034,0.29771929,0.014109671,0.011726184,0.01256339,0.007919394,-0.236362901,-0.093697818,0.257357044,-0.104214978,-0.000444938,-0.139585649,-0.072133578,1,0.005592126,0.015708149,0.010097678,0.037425517,0.053620222,0.023916474,-0.00983027,-0.012925009,0.008717039,0.011925524,0.00065122,0.014556215,0.006588448,0.007261761,0.105076923,-0.001426493,0.013794019,0.001374707,-0.001130293,0.013760743,-0.267793949,-0.010864081,0.041872179,0.181933162,0.109347598
dMeanPktSz,-0.112187841,-0.112012846,0.126410411,-0.117325522,0.175374662,0.175877555,-0.069100923,0.175877555,0.175877555,0.175877555,0.175877555,0.135622564,-0.070291956,-0.010575963,-0.125760731,0.146679115,0.37887402,0.369684787,0.267667093,0.366060289,-0.291426584,-0.063232512,-0.031221581,-0.032083868,-0.005602049,-0.05919795,0.079968296,0.041872179,-0.11992469,-0.019219216,0.390250818,0.292016583,-0.018042465,-0.008047564,0.144825444,-0.00932268,0.535096912,0.15884014,0.084725293,0.142599875,0.029548928,0.012648227,-0.109517359,-0.0045879,0.080931818,0.060694265,0.041600983,0.111809011,-0.112271165,0.194224655,1,0.084893792,0.116391493
sMeanPktSz,-0.06181583,-0.061672243,-0.00654893,-0.089937533,0.242001419,0.242686558,-0.063970088,0.242686558,0.242686558,0.242686558,0.242686558,0.173206988,-0.017535742,0.028575574,0.00359954,0.102578567,0.024499861,-0.010584139,0.407614804,-0.018203932,-0.246205601,0.043875437,-0.090410404,0.096350748,-0.00766357,0.084163921,0.080100229,-0.010864081,-0.022002351,0.135785142,-0.001647096,-0.022080635,-0.024587887,-0.010967048,0.035734518,0.044369343,-0.023000931,-0.00072706,0.015639119,-0.008764345,0.00161905,0.030305465,-0.120004757,0.024491151,-0.009186426,0.013555352,0.010001039,0.021124985,-0.085767537,1,0.194224655,0.015045077,0.125680636
Max,-0.199251459,-0.198786691,0.15600372,-0.107468412,0.999603332,1,-0.061341339,1,1,1,1,-0.253387147,-0.039598858,0.20152848,0.031206711,0.049502818,0.176473026,0.164380239,0.278718482,0.160155956,-0.159102706,0.090877514,0.179603416,0.094262304,-0.019850259,0.083647466,0.127577314,0.180804371,0.168231941,0.318313674,0.175808094,0.125728247,-0.016163424,-0.007209446,0.013974398,-0.011727898,0.087602852,0.079626719,0.060257431,0.078966924,0.039543475,0.002468941,-0.202381414,-0.017950218,-0.007015325,0.012381502,0.008071198,0.02505883,-0.102994092,0.242686558,0.175877555,-0.102229586,0.174570257
Min,-0.199251459,-0.198786691,0.15600372,-0.107468412,0.999603332,1,-0.061341339,1,1,1,1,-0.253387147,-0.039598858,0.20152848,0.031206711,0.049502818,0.176473026,0.164380239,0.278718482,0.160155956,-0.159102706,0.090877514,0.179603416,0.094262304,-0.019850259,0.083647466,0.127577314,0.180804371,0.168231941,0.318313674,0.175808094,0.125728247,-0.016163424,-0.007209446,0.013974398,-0.011727898,0.087602852,0.079626719,0.060257431,0.078966924,0.039543475,0.002468941,-0.202381414,-0.017950218,-0.007015325,0.012381502,0.008071198,0.02505883,-0.102994092,0.242686558,0.175877555,-0.102229586,0.174570257
Sum,-0.199251459,-0.198786691,0.15600372,-0.107468412,0.999603332,1,-0.061341339,1,1,1,1,-0.253387147,-0.039598858,0.20152848,0.031206711,0.049502818,0.176473026,0.164380239,0.278718482,0.160155956,-0.159102706,0.090877514,0.179603416,0.094262304,-0.019850259,0.083647466,0.127577314,0.180804371,0.168231941,0.318313674,0.175808094,0.125728247,-0.016163424,-0.007209446,0.013974398,-0.011727898,0.087602852,0.079626719,0.060257431,0.078966924,0.039543475,0.002468941,-0.202381414,-0.017950218,-0.007015325,0.012381502,0.008071198,0.02505883,-0.102994092,0.242686558,0.175877555,-0.102229586,0.174570257
Mean,-0.199251459,-0.198786691,0.15600372,-0.107468412,0.999603332,1,-0.061341339,1,1,1,1,-0.253387147,-0.039598858,0.20152848,0.031206711,0.049502818,0.176473026,0.164380239,0.278718482,0.160155956,-0.159102706,0.090877514,0.179603416,0.094262304,-0.019850259,0.083647466,0.127577314,0.180804371,0.168231941,0.318313674,0.175808094,0.125728247,-0.016163424,-0.007209446,0.013974398,-0.011727898,0.087602852,0.079626719,0.060257431,0.078966924,0.039543475,0.002468941,-0.202381414,-0.017950218,-0.007015325,0.012381502,0.008071198,0.02505883,-0.102994092,0.242686558,0.175877555,-0.102229586,0.174570257
RunTime,-0.199251459,-0.198786691,0.15600372,-0.107468412,0.999603332,1,-0.061341339,1,1,1,1,-0.253387147,-0.039598858,0.20152848,0.031206711,0.049502818,0.176473026,0.164380239,0.278718482,0.160155956,-0.159102706,0.090877514,0.179603416,0.094262304,-0.019850259,0.083647466,0.127577314,0.180804371,0.168231941,0.318313674,0.175808094,0.125728247,-0.016163424,-0.007209446,0.013974398,-0.011727898,0.087602852,0.079626719,0.060257431,0.078966924,0.039543475,0.002468941,-0.202381414,-0.017950218,-0.007015325,0.012381502,0.008071198,0.02505883,-0.102994092,0.242686558,0.175877555,-0.102229586,0.174570257
Dur,-0.19940836,-0.198943661,0.153443635,-0.107726061,1,0.999603332,-0.061929559,0.999603332,0.999603332,0.999603332,0.999603332,-0.25388017,-0.042219699,0.199897121,0.031136856,0.048906885,0.176389946,0.166071932,0.278588596,0.160101144,-0.157151408,0.090740902,0.181048252,0.094095263,-0.019923058,0.083418221,0.128019588,0.182343881,0.169355631,0.321690184,0.175739562,0.141686495,0.011726882,0.005184895,0.013911885,-0.011759841,0.087491364,0.079591512,0.060214222,0.078934024,0.039498037,0.002458887,-0.202866797,-0.018000727,-0.007086154,0.012277919,0.007990865,0.024918588,-0.103232563,0.242001419,0.175374662,-0.102297545,0.174720669
DstAddr,-0.135388107,-0.135370398,0.002981668,0.023350589,0.031136856,0.031206711,-0.156493844,0.031206711,0.031206711,0.031206711,0.031206711,0.147917601,0.202152915,-0.145250512,1,-0.331192259,-0.062378319,-0.058553155,-0.042828246,-0.057742986,0.055562897,0.092159385,-0.01021815,0.203689664,-0.031760871,0.256365531,0.363422614,-0.256138034,0.296512706,0.190537734,-0.061918077,-0.048961091,-0.002186072,0.002129556,-0.006539225,0.017709889,-0.081593069,-0.015103234,-0.004918439,-0.008819243,0.00501933,-0.003502454,-0.311265507,0.017900296,-0.018108087,-0.002673777,-0.00295308,0.001144509,0.021199616,0.00359954,-0.125760731,-0.301771228,0.192927259
dIpId,-0.299832802,-0.299639664,-0.035280786,0.237906169,0.169355631,0.168231941,-0.153064626,0.168231941,0.168231941,0.168231941,0.168231941,-0.328149632,0.138985803,0.095229205,0.296512706,-0.141112752,-0.013323023,-0.008394738,-0.019014631,-0.009459848,-0.22278021,0.132782257,0.119669749,0.082500446,-0.049196338,0.140122424,0.560757859,0.005592126,1,0.122706016,-0.011936867,0.014395554,0.039056083,0.017420365,0.018648865,0.025627356,-0.020215994,-0.010528378,-0.009013454,-0.008546489,-0.010809336,0.0013053,-0.459360157,0.029000241,-0.018235911,-0.014104359,-0.011972802,-0.01349269,0.224926196,-0.022002351,-0.11992469,-0.43835233,0.278727043
Cause,-0.272829697,-0.272626142,0.039810161,-0.192850122,0.321690184,0.318313674,-0.288783931,0.318313674,0.318313674,0.318313674,0.318313674,-0.002627543,-0.084991381,0.026703565,0.190537734,0.061016858,0.030601583,0.042999609,0.071066332,0.034782112,-0.220299013,0.039042873,0.142810429,0.072120885,-0.039108677,0.108903034,0.288776669,0.015708149,0.122706016,1,0.036111814,0.097250042,0.11806708,0.052662003,0.023150747,0.00442122,0.065899395,0.022136541,0.001847242,0.030577163,0.024619819,-0.002924853,-0.304308623,0.014142934,0.064877917,0.052506383,0.044043054,0.053090752,-0.18317244,0.135785142,-0.019219216,-0.178031459,0.346265018
dHops,-0.429235725,-0.429016522,0.031306226,0.082388618,0.128019588,0.127577314,-0.400834168,0.127577314,0.127577314,0.127577314,0.127577314,-0.128854531,0.037343824,-0.055373788,0.363422614,-0.094775479,0.03302662,0.028371197,0.052020147,0.026413237,-0.50038751,0.056572316,-0.00049516,0.069811122,-0.002102082,0.093139977,1,-0.072133578,0.560757859,0.288776669,0.030021664,0.031109104,0.015234484,0.006795107,0.023688415,0.012332732,0.041489741,0.012433125,0.015608098,0.012182742,0.013355637,0.00417901,-0.635430618,0.019089947,0.01387843,0.042733544,0.033158398,0.05776674,0.076423356,0.080100229,0.079968296,-0.478396651,0.467099352
Label,-0.610756726,-0.610560423,0.002630358,-0.305601274,0.174720669,0.174570257,-0.743637114,0.174570257,0.174570257,0.174570257,0.174570257,-0.116820701,-0.087936109,0.01760207,0.192927259,0.019765354,0.04546457,0.035514832,0.06687727,0.033583667,-0.509936078,0.050131167,0.014101189,0.062599208,-0.05546776,0.083069091,0.467099352,0.109347598,0.278727043,0.346265018,0.039339629,0.030871223,0.004217557,0.000175787,0.024249713,0.009516055,0.0528003,-0.005682956,0.004536364,-0.001581478,0.015245779,0.007787588,-0.401486128,0.021491679,0.03534627,0.031211635,0.025402534,0.03577503,-0.293273124,0.125680636,0.116391493,-0.219957208,1
